"plot_id","priority","lat","lon","elevation","hli","ndvi"
"NEW001",1,64.1303308253155,-51.3881152921278,41.3,0.45,0.78
"NEW002",2,64.1344931238845,-51.3750252800482,50.4,0.65,0.5
"NEW003",3,64.1313135420785,-51.389772327432,45.2,0.51,0.62
"NEW004",4,64.1388731141915,-51.3457019963397,72.8,0.56,0.8
"NEW005",5,64.1258773453193,-51.3753199012172,108.9,0.28,0.35
"NEW006",6,64.1272260372254,-51.3743111685258,52.9,0.32,0.67
"NEW007",7,64.1394555958377,-51.3266000661202,137.2,0.63,0.73
"NEW008",8,64.1286901028489,-51.3975406307059,127.9,0.24,0.11
"NEW009",9,64.1313496953674,-51.3760099796074,21.4,0.42,0.59
"NEW010",10,64.1372837364853,-51.3345874550396,63,0.53,0.59
"NEW011",11,64.1399696901253,-51.3372909969394,92.8,0.62,0.7
"NEW012",12,64.1354635996662,-51.3454541712411,33,0.53,0.61
"NEW013",13,64.1374450822749,-51.3423968814288,43,0.48,0.67
"NEW014",14,64.1287393516818,-51.3790556454247,37.6,0.47,0.53
"NEW015",15,64.1350918960301,-51.3507910694362,23.5,0.49,0.77
"NEW016",16,64.1324302375632,-51.3745866205462,29.9,0.59,0.29
"NEW017",17,64.1301852359436,-51.3751726123852,23,0.47,0.61
"NEW018",18,64.1405081150621,-51.3740789855721,93.6,0.57,0.81
"NEW019",19,64.1371952131777,-51.3711580006137,80.7,0.64,0.45
"NEW020",20,64.1407961173373,-51.3666853879813,187.9,0.82,0.89
"NEW021",21,64.1418465216515,-51.3406016465625,170.4,0.59,0.56
"NEW022",22,64.1323540624925,-51.4031394257102,87.6,0.26,0.76
"NEW023",23,64.1384436867368,-51.3374779557541,64.1,0.56,0.75
"NEW024",24,64.1267214878199,-51.3954586853221,172.9,0.2,0.16
"NEW025",25,64.1381086568011,-51.364800763034,99.2,0.48,0.55
"NEW026",26,64.1380671364706,-51.3810319698433,11.3,0.55,0.72
"NEW027",27,64.1298541872312,-51.3262819385281,42.5,0.51,0.64
"NEW028",28,64.1265813892752,-51.3806692901506,74.9,0.37,0.71
"NEW029",29,64.140465156554,-51.3553794718945,147.1,0.67,0.66
"NEW030",30,64.1307517976901,-51.398391739276,67.1,0.3,0.82
"NEW031",31,64.1296955347701,-51.3907766762297,47.7,0.39,0.84
"NEW032",32,64.1286442587286,-51.3811083070073,36.2,0.46,0.75
"NEW033",33,64.130350864662,-51.3805154615447,34.9,0.44,0.51
"NEW034",34,64.1359978121137,-51.383058119902,6.3,0.52,0.41
"NEW035",35,64.1268848574767,-51.3673235702985,61.1,0.33,0.83
"NEW036",36,64.1332351287148,-51.33905819281,38.1,0.43,0.48
"NEW037",37,64.1272508892594,-51.3266621785896,39.8,0.45,0.32
"NEW038",38,64.1387086272509,-51.3759040087388,58.2,0.51,0.69
"NEW039",39,64.1362427911249,-51.318549746028,181.8,0.62,0.54
"NEW040",40,64.1307647722278,-51.3203357111459,56.2,0.55,0.37
"NEW041",41,64.1402073895394,-51.3506501204912,120.8,0.69,0.63
"NEW042",42,64.1242254518075,-51.3892623139043,183,0.43,0.46
"NEW043",43,64.1395607487579,-51.3582445778462,117.7,0.61,0.85
"NEW044",44,64.1326355783641,-51.3265199879229,71.5,0.58,0.48
"NEW045",45,64.1422078224185,-51.3761568115617,105.4,0.72,0.73
"NEW046",46,64.132681268106,-51.3456250416928,26.5,0.49,0.68
"NEW047",47,64.1335347878699,-51.3257088192258,87,0.5,0.4
"NEW048",48,64.1334797765354,-51.3850777571404,29.2,0.36,0.58
"NEW049",49,64.1317633226631,-51.3893677919018,49.7,0.54,0.52
"NEW050",50,64.1278369314337,-51.3449486933398,81.6,0.41,0.61
